Годы;Численность населения на 1 января
1897;67500
1914;89900
1917;91000
1926;92700
1939;108400
1959;117200
1970;129900
1979;137400
1989;147000
1991;148273.7
1992;148514.7
1993;148561.7
1994;148355.9
1995;148459.9
1996;148291.6
1997;148028.6
1998;147802.1
1999;147539.4
2000;146890.1
2001;146303.6
2002;145649.3
2003;144963.6
2004;144333.6
2005;143801.0
2006;143236.6
2007;142862.7
2008;142747.5
2009;142737.2
2010;142833.5
2011;142865.4
2012;143056.4
2013;143347.1
2014;143666.9
2015;146267.3
2016;146544.7
2017;146804.4
2018;146880.4
2019;146780.7
2020;146748.6
2021;146171.0
2022;145557.5
2023;146447.4
2024;146150.8
2025;146119.9
