Годы;0-4;5-9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 и более
2000;3.3;0.4;0.3;0.8;1.1;1.3;1.7;2.3;3.4;5.1;7.6;11.4;15.8;25.6;79.9
2010;1.9;0.2;0.3;0.5;0.8;1.3;1.9;2.4;3.2;4.2;5.9;9.1;13.1;20.1;69.8
2021;0.9;0.1;0.2;0.4;0.5;0.8;1.4;2.2;3.3;4.5;6.2;9.8;15.1;23.9;90.0
2022;0.9;0.1;0.2;0.4;0.5;0.6;1.1;1.8;2.8;3.7;4.8;6.8;10.1;15.6;66.3
2023;0.9;0.1;0.2;0.4;0.4;0.6;1.1;1.7;2.7;3.6;4.6;6.4;9.3;13.9;57.5
