,0 – 4,5 – 9,10 – 14,15 – 19,20 – 24,25 – 29,30 – 34,35 – 39,40 – 44,45 – 49,50 – 54,55 – 59,60 – 64,65 – 69,70 и более
2028,28.60693793228156,28.171516908791304,26.33449662442222,54.693013478540706,68.10999951720237,86.10499949073791,91.10699961362778,74.17899976414442,56.08099985815584,39.426999972403046,30.088000081315634,22.067956569761904,18.655438649643084,11.234002689600114,5.976500360286433
2033,26.057426593182065,26.356466978861185,24.751451579102184,48.37438474856023,104.9499993406981,115.9349993110597,119.18299941161276,97.02599960702658,73.54899972781539,53.352999885290856,41.99699999788403,20.97837929155632,17.036061684563883,10.126563934607045,5.181004328303126
2038,27.44041941396175,26.91199355774637,25.01897049885401,49.19448430414677,68.10999951720237,86.10499949073791,91.10699961362778,74.17899976414442,56.08099985815584,39.426999972403046,30.088000081315634,18.588415532432727,16.058506050123498,10.024508218472509,5.417499760131212
