,15 – 19,20 – 24,25 – 29,30 – 34,35 – 39,40 – 44,45 – 49,15 – 49,"Суммарный коэффициент рождаемости, родившиеся живыми на 1 женщину"
2028,12.359818413923353,62.73277909267131,95.35592931482367,67.29802184748299,38.958578062469414,9.4273941380163,0.899999989569187,43.458221669577064,1.443211285028633
2033,9.362169842170236,45.63055516275361,94.92278982563352,60.71485694957585,38.73288930932973,10.17391274373342,1.3999999746680256,42.79111061870606,1.3194022387688293
2038,6.724529189272664,29.494998656156366,95.66450300437073,54.967219579600986,38.904977772986605,10.920431349450539,1.899999959766864,42.9462218682583,1.2160225501188886
