,0 – 4,5 – 9,10 – 14,15 – 19,20 – 24,25 – 29,30 – 34,35 – 39,40 – 44,45 – 49,50 – 54,55 – 59,60 – 64,65 – 69,70 и более
2028,33.695902613440175,25.659491919458148,23.506009935026242,38.02652946733428,51.713479358292645,53.7887175684553,53.93652266339967,44.88201722220235,33.87498567652944,30.63356833748375,28.871627571758083,31.05003661005858,27.96752159137303,18.08243039252822,15.085502718380942
2033,31.807558145814546,24.154536179215487,21.757006516922743,34.2690280599625,50.87053611473424,56.17751748089792,56.10988617391018,45.44496633712629,34.781846054944204,30.237798877654036,28.216142504072813,29.023415552611205,25.793529892700995,16.134491032501412,13.412996623792235
2038,32.81793459877641,24.88348277363113,22.327003827675288,35.20948123529201,44.2359668481619,50.015686593750196,49.518551150216545,40.62398381926459,30.614468472123868,27.596008041425264,26.380121745853252,28.221432393273762,25.674056286196773,16.645458328629587,14.019000803945385
